Data,Iprec
90.75,1.4
90.79,0
90.83,0
90.88,0.2
90.92,0
90.96,0
91,0.4
91.04,0.8
91.08,0
91.13,0
91.17,0.2
91.21,0.2
91.25,1
91.29,0.8
91.33,0
91.38,0.8
91.42,0.2
91.46,0.4
91.5,0.2
91.54,1
91.58,0.6
91.63,2
91.67,0
91.71,0.4
91.75,0.8
91.79,0.4
91.83,1.6
91.88,0
91.92,0.6
91.96,0.8
92,0.2
92.04,0
92.08,0
92.13,0
92.17,0
92.21,0
92.25,0
92.29,0
92.33,0.2
92.38,0
92.42,0.8
92.46,0.4
92.5,0
92.54,0
92.58,0
92.63,0
92.67,0
92.71,0
92.75,0
92.79,0
92.83,0
92.88,0
